ip,label
172.16.0.3,nmap_tcp_syn
172.16.0.4,nmap_tcp_conn
172.16.0.5,nmap_tcp_null
172.16.0.6,nmap_tcp_xmas
172.16.0.7,nmap_tcp_fin
172.16.0.8,nmap_tcp_ack
172.16.0.9,nmap_tcp_window
172.16.0.10,nmap_tcp_maimon
172.16.0.11,unicornscan_tcp_syn
172.16.0.12,unicornscan_tcp_conn
172.16.0.13,unicornscan_tcp_null
172.16.0.14,unicornscan_tcp_xmas
172.16.0.15,unicornscan_tcp_fxmas
172.16.0.16,unicornscan_tcp_fin
172.16.0.17,unicornscan_tcp_ack
172.16.0.18,hping_tcp_syn
172.16.0.19,hping_tcp_null
172.16.0.20,hping_tcp_xmas
172.16.0.21,hping_tcp_fin
172.16.0.22,hping_tcp_ack
172.16.0.23,zmap_tcp_syn
172.16.0.24,masscan_tcp_syn
