# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle[...];kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil[...];IFACE;rxerr/s;txerr/s;coll/s;rxdrop/s;txdrop/s;txcarr/s;rxfram/s;rxfifo/s;txfifo/s[...];call/s;retrans/s;read/s;write/s;access/s;getatt/s;scall/s;badcall/s;packet/s;udp/s;tcp/s;hit/s;miss/s;sread/s;swrite/s;saccess/s;sgetatt/s;totsck;tcpsck;udpsck;rawsck;ip-frag;tcp-tw;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s;ihdrerr/s;iadrerr/s;iukwnpr/s;idisc/s;odisc/s;onort/s;asmf/s;fragf/s;imsg/s;omsg/s;iech/s;iechr/s;oech/s;oechr/s;itm/s;itmr/s;otm/s;otmr/s;iadrmk/s;iadrmkr/s;oadrmk/s;oadrmkr/s;ierr/s;oerr/s;idstunr/s;odstunr/s;itmex/s;otmex/s;iparmpb/s;oparmpb/s;isrcq/s;osrcq/s;iredir/s;oredir/s;active/s;passive/s;iseg/s;oseg/s;atmptf/s;estres/s;retrans/s;isegerr/s;orsts/s;idgm/s;odgm/s;noport/s;idgmerr/s;tcp6sck;udp6sck;raw6sck;ip6-frag;irec6/s;fwddgm6/s;idel6/s;orq6/s;asmrq6/s;asmok6/s;imcpck6/s;omcpck6/s;fragok6/s;fragcr6/s;ihdrer6/s;iadrer6/s;iukwnp6/s;i2big6/s;idisc6/s;odisc6/s;inort6/s;onort6/s;asmf6/s;fragf6/s;itrpck6/s;imsg6/s;omsg6/s;iech6/s;iechr6/s;oechr6/s;igmbq6/s;igmbr6/s;ogmbr6/s;igmbrd6/s;ogmbrd6/s;irtsol6/s;ortsol6/s;irtad6/s;inbsol6/s;onbsol6/s;inbad6/s;onbad6/s;ierr6/s;idtunr6/s;odtunr6/s;itmex6/s;otmex6/s;iprmpb6/s;oprmpb6/s;iredir6/s;oredir6/s;ipck2b6/s;opck2b6/s;idgm6/s;odgm6/s;noport6/s;idgmer6/s;CPU;total/s;dropd/s;squeezd/s;rx_rps/s;flw_lim/s[...]
raspberrypi;1;2020-07-31 20:29:07 UTC;-1;2.03;0.00;1.52;0.00;0.00;0.00;0.00;0.00;0.00;96.46;250880;661892;111620;12.69;85688;368984;865244;88.14;346976;198364;72;90740;62088;1624;3480;0;wlan0;19.00;27.00;1.42;32.23;0.00;0.00;0.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;287;6;3;0;0;0;17.00;0.00;17.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.00;26.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;17.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:08 UTC;-1;2.83;0.00;1.80;0.00;0.00;0.00;0.51;0.00;0.00;94.86;250692;661848;111668;12.70;85688;369124;865244;88.14;347092;198508;84;90872;62088;1624;3480;0;wlan0;813.00;469.00;1160.10;63.03;0.00;0.00;0.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;823.00;0.00;823.00;467.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;827.00;474.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;844.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:09 UTC;-1;1.53;0.00;9.21;0.00;0.00;0.00;0.26;0.00;0.00;89.00;250684;661840;111680;12.70;85688;369120;865244;88.14;347092;198504;84;90872;62088;1632;3480;0;wlan0;2790.00;1163.00;4053.77;104.18;0.00;0.00;0.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;2784.00;0.00;2784.00;1159.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2779.00;1160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;2784.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:10 UTC;-1;1.82;0.00;8.05;0.00;0.00;0.00;0.78;0.00;0.00;89.35;250336;661508;112012;12.74;85688;369136;865964;88.21;347172;198512;96;90872;62088;1632;3480;0;wlan0;3037.00;1393.00;4443.18;124.13;0.00;0.00;1.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;3047.00;0.00;3047.00;1393.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3045.00;1394.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5;3;1;0;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;3034.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:11 UTC;-1;1.79;0.00;12.24;0.00;0.00;0.00;0.77;0.00;0.00;85.20;250432;661604;111912;12.73;85688;369140;864776;88.09;347172;198508;100;90872;62088;1632;3480;0;wlan0;2776.00;1182.00;4030.43;106.14;0.00;0.00;1.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;2784.00;0.00;2784.00;1186.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2781.00;1187.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;2790.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:12 UTC;-1;2.09;0.00;8.88;0.00;0.00;0.00;2.35;0.00;0.00;86.68;250368;661536;111984;12.74;85688;369132;864264;88.04;347176;198500;140;90872;62088;1632;3480;0;wlan0;3026.00;1280.00;4413.41;114.15;0.00;0.00;1.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;3010.00;0.00;3010.00;1275.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3008.00;1276.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;3006.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:13 UTC;-1;1.90;0.00;6.79;0.00;0.00;0.00;0.82;0.00;0.00;90.49;250336;661508;112012;12.74;85688;369136;864776;88.09;347176;198504;144;90872;62088;1632;3480;0;wlan0;2908.00;1328.00;4251.42;118.33;0.00;0.00;1.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;2915.00;0.00;2915.00;1327.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2912.00;1327.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;2906.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:14 UTC;-1;1.82;0.00;5.97;0.00;0.00;0.00;0.78;0.00;0.00;91.43;250368;661548;111972;12.73;85688;369144;864776;88.09;347176;198512;152;90872;62088;1632;3480;0;wlan0;3083.00;1303.00;4510.53;116.26;0.00;0.00;0.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;3090.00;0.00;3089.00;1309.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3089.00;1309.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;3105.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:15 UTC;-1;1.80;0.00;6.68;0.00;0.00;0.00;2.06;0.00;0.00;89.46;250368;661548;111968;12.73;85688;369148;864776;88.09;347176;198512;156;90872;62088;1632;3480;0;wlan0;3221.00;1315.00;4697.70;117.37;0.00;0.00;0.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;3213.00;0.00;3214.00;1308.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3212.00;1308.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;5;3;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;3201.00;0.00;0.00;0.00;0.00
raspberrypi;1;2020-07-31 20:29:16 UTC;-1;1.65;0.00;6.59;0.00;0.00;0.00;0.27;0.00;0.00;91.48;250304;661484;112028;12.74;85688;369152;864624;88.08;347176;198512;160;90872;62088;1632;3480;0;wlan0;2932.00;1184.00;4276.82;105.63;0.00;0.00;2.00;0.00;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;289;6;3;0;0;0;2935.00;0.00;2935.00;1182.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2931.00;1182.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5;3;1;0;1.00;0.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1;2933.00;0.00;0.00;0.00;0.00
